id,app,name,applied
1,contenttypes,0001_initial,"2025-05-01 16:33:53.596907"
2,auth,0001_initial,"2025-05-01 16:33:53.610545"
3,admin,0001_initial,"2025-05-01 16:33:53.620865"
4,admin,0002_logentry_remove_auto_add,"2025-05-01 16:33:53.632152"
5,admin,0003_logentry_add_action_flag_choices,"2025-05-01 16:33:53.640069"
6,contenttypes,0002_remove_content_type_name,"2025-05-01 16:33:53.680678"
7,auth,0002_alter_permission_name_max_length,"2025-05-01 16:33:53.688147"
8,auth,0003_alter_user_email_max_length,"2025-05-01 16:33:53.695746"
9,auth,0004_alter_user_username_opts,"2025-05-01 16:33:53.703757"
10,auth,0005_alter_user_last_login_null,"2025-05-01 16:33:53.717872"
11,auth,0006_require_contenttypes_0002,"2025-05-01 16:33:53.720851"
12,auth,0007_alter_validators_add_error_messages,"2025-05-01 16:33:53.730340"
13,auth,0008_alter_user_username_max_length,"2025-05-01 16:33:53.740494"
14,auth,0009_alter_user_last_name_max_length,"2025-05-01 16:33:53.749330"
15,auth,0010_alter_group_name_max_length,"2025-05-01 16:33:53.758180"
16,auth,0011_update_proxy_permissions,"2025-05-01 16:33:53.764984"
17,auth,0012_alter_user_first_name_max_length,"2025-05-01 16:33:53.773224"
18,core,0001_initial,"2025-05-01 16:33:53.795629"
19,sessions,0001_initial,"2025-05-01 16:33:53.803625"
20,core,0002_agendamento_de_aula_aluno,"2025-05-11 19:55:52.874715"
21,core,0003_remove_agendamento_de_aula_nome,"2025-05-11 19:58:44.334160"
22,core,0004_remove_deletaragendamento_nome_and_more,"2025-05-11 20:00:54.313666"
